# tree=/tmp/claude-1001/-home-dev-projects-siloscan/60debea7-e64c-4281-b653-c3854a64176d/scratchpad/scale78
# binary=/home/dev/projects/siloscan/.claude/worktrees/agent-a49b03eecd4e8223b/target/release/siloscan
# binary_sha256=fd6b07b2436bea3ff3a6e77868b3903aacbc37573480086165bc0fde46264f3e
# host=Linux 6.8.0-136-generic; 8 cpu
# samples=9 paired, ABBA order, one untimed warm-up per arm
arm	cache_state	sample	elapsed_seconds	peak_rss_kib
A	no-cache	1	1.35	200116
B	no-cache	1	9.36	348908
C	no-cache	1	8.66	233136
C	no-cache	2	8.18	233376
B	no-cache	2	8.62	348884
A	no-cache	2	1.23	200060
A	no-cache	3	1.34	200668
B	no-cache	3	8.87	348612
C	no-cache	3	8.26	232968
C	no-cache	4	8.20	233048
B	no-cache	4	8.49	348956
A	no-cache	4	1.35	200268
A	no-cache	5	1.30	200152
B	no-cache	5	9.41	348900
C	no-cache	5	8.24	233200
C	no-cache	6	7.95	233064
B	no-cache	6	8.95	348972
A	no-cache	6	1.30	200272
A	no-cache	7	1.41	200092
B	no-cache	7	8.93	348820
C	no-cache	7	7.44	232956
C	no-cache	8	7.62	232768
B	no-cache	8	8.00	348848
A	no-cache	8	1.20	201004
A	no-cache	9	1.47	200248
B	no-cache	9	8.86	348760
C	no-cache	9	8.46	233068
A	warm	1	0.49	156432
B	warm	1	0.91	291096
C	warm	1	0.61	185084
C	warm	2	0.55	185240
B	warm	2	0.91	291392
A	warm	2	0.46	156224
A	warm	3	0.43	156092
B	warm	3	0.81	291176
C	warm	3	0.52	185316
C	warm	4	0.49	185164
B	warm	4	0.88	291300
A	warm	4	0.43	156108
A	warm	5	0.43	156168
B	warm	5	0.87	291236
C	warm	5	0.55	184872
C	warm	6	0.53	185092
B	warm	6	0.81	291344
A	warm	6	0.39	156212
A	warm	7	0.42	156236
B	warm	7	0.87	291432
C	warm	7	0.52	185168
C	warm	8	0.49	185296
B	warm	8	0.84	291276
A	warm	8	0.42	156280
A	warm	9	0.40	156360
B	warm	9	0.84	291236
C	warm	9	0.53	184996
